"","bin","OCCURRED","LAG"
"21084",12,09/08/11,  0
"21085",174,09/08/11,  0
"21086",394,09/08/11,  1
"21087",42,09/08/11,  0
"21088",138,09/08/11,  0
"21089",492,09/08/11,  0
"21270",418,09/07/11,  0
"21271",441,09/07/11,  0
"21272",394,09/07/11,  0
"21460",531,09/06/11,  0
"21486",445,09/06/11,  0
"21487",338,09/06/11,  0
"21488",81,09/06/11,  0
"21489",393,09/06/11,  0
"21490",81,09/06/11,  0
"21491",469,09/06/11,  0
"21492",81,09/06/11,  0
"21632",78,09/05/11,  0
"21633",78,09/05/11,  0
"21634",39,09/05/11,  1
"21787",469,09/04/11,  0
"21788",39,09/04/11,  0
"21789",319,09/04/11,  1
"21790",511,09/04/11,  0
"21791",54,09/04/11,  0
"21792",514,09/04/11,  0
"21793",511,09/04/11,  0
"21794",219,09/04/11,  0
"21795",511,09/04/11,  0
"21860",528,09/04/11,  0
"21965",494,09/03/11,  0
"21966",560,09/03/11,  1
"22053",77,09/03/11,  0
"22156",270,09/02/11,  0
"22157",493,09/02/11,  0
"22158",465,09/02/11,  0
"22159",245,09/02/11,  1
"22160",465,09/02/11,  0
"22274",294,09/02/11,  0
"22360",66,09/01/11,  0
"22361",66,09/01/11,  0
"22362",33,09/01/11,  0
"22363",33,09/01/11,  0
"22364",393,09/01/11,  0
"22365",393,09/01/11,  0
"22366",419,09/01/11,  0
"22367",494,09/01/11,  0
"22368",66,09/01/11,  0
"22369",66,09/01/11,  0
"22370",52,09/01/11,  0
"22371",543,09/01/11,  0
"22573",491,08/31/11,  0
"22574",316,08/31/11,  0
"22575",54,08/31/11,  0
"22576",77,08/31/11,  0
"22577",529,08/31/11,  0
"22578",526,08/31/11,  0
"22579",77,08/31/11,  0
"22580",529,08/31/11,  0
"22581",491,08/31/11,  0
"22582",80,08/31/11,  0
"22583",270,08/31/11,  0
"22749",63,08/30/11,  0
"22754",63,08/30/11,  0
"22784",514,08/30/11,  0
"22785",510,08/30/11,  0
"22786",65,08/30/11,  1
"22787",510,08/30/11,  0
"22788",510,08/30/11,  0
"22952",29,08/29/11,  0
"22953",469,08/29/11,  0
"22954",528,08/29/11,  0
"23121",528,08/28/11,  0
"23122",543,08/28/11,  0
"23123",543,08/28/11,  0
"23124",543,08/28/11,  0
"23308",469,08/27/11,  0
"23309",530,08/27/11,  0
"23310",542,08/27/11,  0
"23311",223,08/27/11,  0
"23312",532,08/27/11,  0
"23313",530,08/27/11,  0
"23314",542,08/27/11,  0
"23496",487,08/27/11,  0
"23497",528,08/27/11,  0
"23508",318,08/26/11,  0
"23509",40,08/26/11,  0
"23510",529,08/26/11,  0
"23511",270,08/26/11,  0
"23512",529,08/26/11,  0
"23513",421,08/26/11,  0
"23514",78,08/26/11,  0
"23515",174,08/26/11,  0
"23516",318,08/26/11,  0
"23517",318,08/26/11,  0
"23518",270,08/26/11,  0
"23740",242,08/25/11,  0
"23741",369,08/25/11,  0
"23742",198,08/25/11,  1
"23743",492,08/25/11,  0
"23744",583,08/25/11,  0
"23745",174,08/25/11,  0
"23746",369,08/25/11,  0
"23939",40,08/24/11,  0
"23940",55,08/24/11,  0
"23941",492,08/24/11,  0
"23943",124,08/24/11,  0
"23944",124,08/24/11,  0
"23945",510,08/24/11,  0
"23946",124,08/24/11,  0
"23947",40,08/24/11,  0
"23948",55,08/24/11,  0
"23949",124,08/24/11,  0
"23950",492,08/24/11,  0
"23951",512,08/24/11,  0
"23952",510,08/24/11,  0
"24099",244,08/24/11,  8
"24127",465,08/24/11,  0
"24128",510,08/24/11,  0
"24136",67,08/23/11,  0
"24137",53,08/23/11,  0
"24138",67,08/23/11,  0
"24139",53,08/23/11,  0
"24140",174,08/23/11,  0
"24179",222,08/23/11,  0
"24180",81,08/23/11,  0
"24329",337,08/23/11,  0
"24330",393,08/23/11,  0
"24342",469,08/22/11,  0
"24421",419,08/22/11,  0
"24422",511,08/22/11,  0
"24511",528,08/22/11,  0
"24512",492,08/22/11,  0
"24513",446,08/22/11,  0
"24525",507,08/21/11,  0
"24526",507,08/21/11,  0
"24527",93,08/21/11,  0
"24702",271,08/20/11,  0
"24703",271,08/20/11,  0
"24704",583,08/20/11,  0
"24705",362,08/20/11,  0
"24934",56,08/19/11,  0
"24935",94,08/19/11,  0
"24936",94,08/19/11,  0
"24937",447,08/19/11,  0
"24938",94,08/19/11,  0
"24939",530,08/19/11,  0
"24940",530,08/19/11,  0
"25112",492,08/19/11,  0
"25113",446,08/19/11,  0
"25114",445,08/19/11,  0
"25115",445,08/19/11,  0
"25116",446,08/19/11,  0
"25120",469,08/19/11,  0
"25138",490,08/18/11,  0
"25139",559,08/18/11,  0
"25140",371,08/18/11,  0
"25142",559,08/18/11,  0
"25143",293,08/18/11,  0
"25144",559,08/18/11,  0
"25145",419,08/18/11,  0
"25146",559,08/18/11,  0
"25333",528,08/18/11,  0
"25334",528,08/18/11,  0
"25335",526,08/18/11,  0
"25336",544,08/18/11,  0
"25365",77,08/17/11,  0
"25366",445,08/17/11,  0
"25367",76,08/17/11,  0
"25368",29,08/17/11,  0
"25369",176,08/17/11,  0
"25370",29,08/17/11,  0
"25371",77,08/17/11,  0
"25372",176,08/17/11,  0
"25373",76,08/17/11,  0
"25374",176,08/17/11,  0
"25560",446,08/17/11,  0
"25561",469,08/17/11,  0
"25566",40,08/16/11,  0
"25567",198,08/16/11,  0
"25568",79,08/16/11,  0
"25569",21,08/16/11,  0
"25570",79,08/16/11,  0
"25571",81,08/16/11,  0
"25605",547,08/16/11,  0
"25606",547,08/16/11,  0
"25607",123,08/16/11,  0
"25608",123,08/16/11,  0
"25609",564,08/16/11,  0
"25610",564,08/16/11,  0
"25715",152,08/16/11,  0
"25716",152,08/16/11,  0
"25739",491,08/16/11,  0
"25740",491,08/16/11,  0
"25764",421,08/15/11,  0
"25765",397,08/15/11,  0
"25953",315,08/14/11,  0
"25954",218,08/14/11,  0
"25955",315,08/14/11,  0
"26129",472,08/13/11,  0
"26130",493,08/13/11,  0
"26131",245,08/13/11,  0
"26132",419,08/13/11,  0
"26301",511,08/12/11,  0
"26302",220,08/12/11,  0
"26303",110,08/12/11,  0
"26304",110,08/12/11,  0
"26503",292,08/11/11,  0
"26504",64,08/11/11,  0
"26519",220,08/11/11,  0
"26520",66,08/11/11,  0
"26521",55,08/11/11,  0
"26522",64,08/11/11,  0
"26523",66,08/11/11,  0
"26524",218,08/11/11,  0
"26525",66,08/11/11,  0
"26526",55,08/11/11,  0
"26527",64,08/11/11,  0
"26528",292,08/11/11,  0
"26529",446,08/11/11,  0
"26711",465,08/11/11,  0
"26713",291,08/10/11,  0
"26714",55,08/10/11,  0
"26715",291,08/10/11,  0
"26716",291,08/10/11,  0
"26763",418,08/10/11,  0
"26764",493,08/10/11,  0
"26765",465,08/10/11,  0
"26766",465,08/10/11,  0
"26916",65,08/09/11,  0
"26917",66,08/09/11,  0
"26918",116,08/09/11,  0
"26919",65,08/09/11,  0
"26920",65,08/09/11,  0
"26921",66,08/09/11,  0
"26922",66,08/09/11,  0
"27018",359,08/09/11,  1
"27087",66,08/08/11,  0
"27090",243,08/08/11,  0
"27267",44,08/07/11,  0
"27268",122,08/07/11,  0
"27269",424,08/07/11,  0
"27388",494,08/07/11,  0
"27428",110,08/06/11,  0
"27429",89,08/06/11,  0
"27603",79,08/05/11,  0
"27604",29,08/05/11,  0
"27605",29,08/05/11,  0
"27606",65,08/05/11,  0
"27607",29,08/05/11,  0
"27608",65,08/05/11,  0
"27757",66,08/04/11,  0
"27758",79,08/04/11,  0
"27759",512,08/04/11,  0
"27760",79,08/04/11,  0
"27761",392,08/04/11,  0
"27762",65,08/04/11,  0
"27938",95,08/03/11,  0
"27939",67,08/03/11,  0
"27940",83,08/03/11,  1
"27941",95,08/03/11,  0
"27942",531,08/03/11,  0
"27943",420,08/03/11,  0
"27944",83,08/03/11,  1
"28094",446,08/03/11,  0
"28100",65,08/02/11,  0
"28101",368,08/02/11,  0
"28102",65,08/02/11,  0
"28103",269,08/02/11,  0
"28104",368,08/02/11,  0
"28105",65,08/02/11,  0
"28134",491,08/02/11,  0
"28267",487,08/02/11,  0
"28268",544,08/02/11,  0
"28388",67,08/01/11,  0
"28389",67,08/01/11,  0
"28390",67,08/01/11,  0
"28422",295,07/31/11,  0
"28592",66,07/30/11,  0
"28593",490,07/30/11,  0
"28740",76,07/29/11,  0
"28751",151,07/29/11,  0
"28752",509,07/29/11,  0
"28753",491,07/29/11,  0
"28754",76,07/29/11,  0
"28755",106,07/29/11,  0
"28756",62,07/29/11,  0
"28757",546,07/29/11,  0
"28758",509,07/29/11,  0
"28759",76,07/29/11,  0
"28760",365,07/29/11,  0
"28953",512,07/28/11,  0
"28954",487,07/28/11,  0
"28955",512,07/28/11,  0
"28956",55,07/28/11,  0
"28957",30,07/28/11,  0
"28958",219,07/28/11,  0
"29117",151,07/27/11,  0
"29118",67,07/27/11,  0
"29119",150,07/27/11,  0
"29120",425,07/27/11,  0
"29121",391,07/27/11,  0
"29122",67,07/27/11,  0
"29123",65,07/27/11,  0
"29124",528,07/27/11,  1
"29125",67,07/27/11,  0
"29126",150,07/27/11,  0
"29313",492,07/26/11,  0
"29314",221,07/26/11,  0
"29315",56,07/26/11,  0
"29317",89,07/26/11,  0
"29318",492,07/26/11,  0
"29319",341,07/26/11,  0
"29366",44,07/26/11,  0
"29367",79,07/26/11,  0
"29368",79,07/26/11,  0
"29510",65,07/25/11,  0
"29512",66,07/25/11,  0
"29513",66,07/25/11,  0
"29514",93,07/25/11,  0
"29515",93,07/25/11,  0
"29516",13,07/25/11,  0
"29517",247,07/25/11,  0
"29518",321,07/25/11,  0
"29519",544,07/25/11,  0
"29586",13,07/25/11,  0
"29703",492,07/24/11,  0
"29870",96,07/23/11,  0
"29882",96,07/23/11,  0
"29883",66,07/23/11,  0
"29884",544,07/23/11,  0
"29885",59,07/23/11,  0
"29886",96,07/23/11,  0
"29887",369,07/23/11,  0
"29888",83,07/23/11,  0
"30054",79,07/22/11,  0
"30056",319,07/22/11,  0
"30057",79,07/22/11,  0
"30058",197,07/22/11,  0
"30268",52,07/21/11,  0
"30269",54,07/21/11,  0
"30270",470,07/21/11,  0
